bp	annual_hunting_mortality
4484	0.050000
4483	0.050000
4482	0.050000
4481	0.050000
4480	0.050000
4479	0.050000
4478	0.050000
4477	0.050000
4476	0.050000
4475	0.050000
4474	0.050000
4473	0.050000
4472	0.050000
4471	0.050000
4470	0.050000
4469	0.050000
4468	0.050000
4467	0.050000
4466	0.050000
4465	0.050000
4464	0.050000
4463	0.050000
4462	0.050000
4461	0.050000
4460	0.050000
4459	0.050000
4458	0.050000
4457	0.050000
4456	0.050000
4455	0.050000
4454	0.050000
4453	0.050000
4452	0.050000
4451	0.050000
4450	0.050000
4449	0.050000
4448	0.050000
4447	0.050000
4446	0.050000
4445	0.050000
4444	0.050000
4443	0.050000
4442	0.050000
4441	0.050000
4440	0.050000
4439	0.050000
4438	0.050000
4437	0.050000
4436	0.050000
4435	0.050000
4434	0.050000
4433	0.050000
4432	0.050000
4431	0.050000
4430	0.050000
4429	0.050000
4428	0.050000
4427	0.050000
4426	0.050000
4425	0.050000
4424	0.050000
4423	0.050000
4422	0.050000
4421	0.050000
4420	0.050000
4419	0.050000
4418	0.050000
4417	0.050000
4416	0.050000
4415	0.050000
4414	0.050000
4413	0.050000
4412	0.050000
4411	0.050000
4410	0.050000
4409	0.050000
4408	0.050000
4407	0.050000
4406	0.050000
4405	0.050000
4404	0.050000
4403	0.050000
4402	0.050000
4401	0.050000
4400	0.050000
4399	0.050000
4398	0.050000
4397	0.050000
4396	0.050000
4395	0.050000
4394	0.050000
4393	0.050000
4392	0.050000
4391	0.050000
4390	0.050000
4389	0.050000
4388	0.050000
4387	0.050000
4386	0.050000
4385	0.050000
4384	0.050000
4383	0.050000
4382	0.050000
4381	0.050000
4380	0.050000
4379	0.050000
4378	0.050000
4377	0.050000
4376	0.050000
4375	0.050000
4374	0.050000
4373	0.050000
4372	0.050000
4371	0.050000
4370	0.050000
4369	0.050000
4368	0.050000
4367	0.050000
4366	0.050000
4365	0.050000
4364	0.050000
4363	0.050000
4362	0.050000
4361	0.050000
4360	0.050000
4359	0.050000
4358	0.050000
4357	0.050000
4356	0.050000
4355	0.050000
4354	0.050000
4353	0.050000
4352	0.050000
4351	0.050000
4350	0.050000
4349	0.050000
4348	0.050000
4347	0.050000
4346	0.050000
4345	0.050000
4344	0.050000
4343	0.050000
4342	0.050000
4341	0.050000
4340	0.050000
4339	0.050000
4338	0.050000
4337	0.050000
4336	0.050000
4335	0.050000
4334	0.050000
4333	0.050000
4332	0.050000
4331	0.050000
4330	0.050000
4329	0.050000
4328	0.050000
4327	0.050000
4326	0.050000
4325	0.050000
4324	0.050000
4323	0.050000
4322	0.050000
4321	0.050000
4320	0.050000
4319	0.050000
4318	0.050000
4317	0.050000
4316	0.050000
4315	0.050000
4314	0.050000
4313	0.050000
4312	0.050000
4311	0.050000
4310	0.050000
4309	0.050000
4308	0.050000
4307	0.050000
4306	0.050000
4305	0.050000
4304	0.050000
4303	0.050000
4302	0.050000
4301	0.050000
4300	0.050000
4299	0.050000
4298	0.050000
4297	0.050000
4296	0.050000
4295	0.050000
4294	0.050000
4293	0.050000
4292	0.050000
4291	0.050000
4290	0.050000
4289	0.050000
4288	0.050000
4287	0.050000
4286	0.050000
4285	0.050000
4284	0.050000
4283	0.050000
4282	0.050000
4281	0.050000
4280	0.050000
4279	0.050000
4278	0.050000
4277	0.050000
4276	0.050000
4275	0.050000
4274	0.050000
4273	0.050000
4272	0.050000
4271	0.050000
4270	0.050000
4269	0.050000
4268	0.050000
4267	0.050000
4266	0.050000
4265	0.050000
4264	0.050000
4263	0.050000
4262	0.050000
4261	0.050000
4260	0.050000
4259	0.050000
4258	0.050000
4257	0.050000
4256	0.050000
4255	0.050000
4254	0.050000
4253	0.050000
4252	0.050000
4251	0.050000
4250	0.050000
4249	0.050000
4248	0.050000
4247	0.050000
4246	0.050000
4245	0.050000
4244	0.050000
4243	0.050000
4242	0.050000
4241	0.050000
4240	0.050000
4239	0.050000
4238	0.050000
4237	0.050000
4236	0.050000
4235	0.050000
4234	0.050000
4233	0.050000
4232	0.050000
4231	0.050000
4230	0.050000
4229	0.050000
4228	0.050000
4227	0.050000
4226	0.050000
