cycle	bp	scenario	genetic_mode	stage	N	age_0_1	age_2_4	age_5_9	age_10_14	age_15_19	age_20_28	OMU_count	dominant_males	dominant_candidate_males	backup_candidate_males	AMU_dominant_candidate_males	AMU_backup_candidate_males	vacant_OMU_count	invalid_dominant_males	duplicate_dominant_males
73	77	M2	selected	post_mortality	96	23	28	25	10	10	0	5	4	5	16	1	12	1	0	0
74	76	M2	selected	pre_breeding	96	10	32	28	15	11	0	5	5	8	19	3	14	0	0	0
74	76	M2	selected	post_mortality	101	27	27	24	15	8	0	5	5	8	16	3	11	0	0	0
75	75	M2	selected	pre_breeding	101	17	29	30	15	9	1	5	5	9	19	4	14	0	0	0
75	75	M2	selected	post_mortality	96	27	27	24	10	7	1	5	3	6	13	3	10	2	0	0
76	74	M2	selected	pre_breeding	96	14	31	31	10	8	2	5	5	5	16	0	11	0	0	0
76	74	M2	selected	post_mortality	107	29	29	29	10	8	2	5	5	5	15	0	10	0	0	0
77	73	M2	selected	pre_breeding	107	15	35	34	11	8	4	5	5	5	17	0	12	0	0	0
77	73	M2	selected	post_mortality	102	28	31	25	9	5	4	5	3	3	12	0	9	2	0	0
78	72	M2	selected	pre_breeding	102	14	38	27	13	5	5	5	5	6	15	1	10	0	0	0
78	72	M2	selected	post_mortality	102	23	36	23	13	4	3	5	5	6	14	1	9	0	0	0
79	71	M2	selected	pre_breeding	102	12	35	31	14	7	3	6	6	9	15	3	9	0	0	0
79	71	M2	selected	post_mortality	94	26	28	23	9	5	3	6	3	5	10	2	7	3	0	0
80	70	M2	selected	pre_breeding	94	18	27	28	12	6	3	6	6	5	13	0	7	0	0	0
80	70	M2	selected	post_mortality	101	31	27	26	10	5	2	6	5	5	10	0	5	1	0	0
81	69	M2	selected	pre_breeding	101	14	35	31	14	4	3	6	6	7	12	1	6	0	0	0
81	69	M2	selected	post_mortality	94	26	26	28	9	3	2	6	3	3	8	0	5	3	0	0
82	68	M2	selected	pre_breeding	94	14	30	33	11	3	3	6	6	4	11	0	5	0	0	0
82	68	M2	selected	post_mortality	99	30	27	28	10	1	3	6	5	4	9	0	4	1	0	0
83	67	M2	selected	pre_breeding	99	16	36	31	12	1	3	6	6	5	13	0	7	0	0	0
83	67	M2	selected	post_mortality	97	24	36	25	9	1	2	6	6	5	13	0	7	0	0	0
84	66	M2	selected	pre_breeding	97	9	40	31	12	3	2	6	6	6	16	1	10	0	0	0
84	66	M2	selected	post_mortality	101	23	38	26	11	2	1	6	5	5	15	1	10	1	0	0
85	65	M2	selected	pre_breeding	101	16	34	32	14	4	1	6	6	6	16	0	10	0	0	0
85	65	M2	selected	post_mortality	98	28	32	24	12	1	1	6	5	5	10	0	5	1	0	0
86	64	M2	selected	pre_breeding	98	14	34	33	13	3	1	6	6	7	11	1	5	0	0	0
86	64	M2	selected	post_mortality	98	28	30	25	11	3	1	4	4	7	11	1	5	0	2	0
87	63	M2	selected	pre_breeding	98	14	31	34	15	3	1	4	4	8	14	4	10	0	0	0
87	63	M2	selected	post_mortality	101	31	25	27	15	2	1	4	4	8	12	4	8	0	0	0
88	62	M2	selected	pre_breeding	101	19	32	31	15	3	1	4	4	8	14	4	10	0	0	0
88	62	M2	selected	post_mortality	101	27	29	29	13	2	1	4	3	6	10	3	7	1	0	0
89	61	M2	selected	pre_breeding	101	10	35	38	12	5	1	5	5	5	15	0	10	0	0	0
89	61	M2	selected	post_mortality	103	26	31	31	12	3	0	5	5	5	12	0	7	0	0	0
90	60	M2	selected	pre_breeding	103	16	35	33	14	5	0	5	5	7	14	2	9	0	0	0
90	60	M2	selected	post_mortality	99	28	25	28	13	5	0	5	4	6	13	2	9	1	0	0
91	59	M2	selected	pre_breeding	99	15	30	34	12	8	0	5	5	5	15	0	10	0	0	0
91	59	M2	selected	post_mortality	95	29	23	30	8	5	0	5	5	5	13	0	8	0	0	0
92	58	M2	selected	pre_breeding	95	15	29	29	14	8	0	5	5	7	17	2	12	0	0	0
92	58	M2	selected	post_mortality	95	23	28	28	10	6	0	5	3	5	15	2	12	2	0	0
93	57	M2	selected	pre_breeding	95	11	35	28	15	5	1	5	5	6	18	1	13	0	0	0
93	57	M2	selected	post_mortality	99	24	33	25	12	4	1	5	4	4	14	0	10	1	0	0
94	56	M2	selected	pre_breeding	99	13	36	28	15	6	1	5	5	5	18	0	13	0	0	0
94	56	M2	selected	post_mortality	95	23	30	25	13	4	0	4	4	5	17	0	12	0	1	0
95	55	M2	selected	pre_breeding	95	12	29	33	16	4	1	5	5	8	18	3	13	0	0	0
