cycle	bp	scenario	genetic_mode	stage	N	age_0_1	age_2_4	age_5_9	age_10_14	age_15_19	age_20_28	OMU_count	dominant_males	dominant_candidate_males	backup_candidate_males	AMU_dominant_candidate_males	AMU_backup_candidate_males	vacant_OMU_count	invalid_dominant_males	duplicate_dominant_males
115	35	M3	selected	post_mortality	86	25	24	22	12	0	3	5	4	8	11	4	7	1	0	0
116	34	M3	selected	pre_breeding	86	11	33	20	16	3	3	5	5	10	14	5	9	0	0	0
116	34	M3	selected	post_mortality	90	22	31	19	14	2	2	5	5	8	12	3	7	0	0	0
117	33	M3	selected	pre_breeding	90	13	31	26	14	4	2	5	5	7	16	2	11	0	0	0
117	33	M3	selected	post_mortality	91	24	25	23	13	4	2	5	5	7	14	2	9	0	0	0
118	32	M3	selected	pre_breeding	91	13	31	26	15	4	2	5	5	5	14	0	9	0	0	0
118	32	M3	selected	post_mortality	95	26	27	26	12	3	1	5	5	5	13	0	8	0	0	0
119	31	M3	selected	pre_breeding	95	15	28	33	15	3	1	5	5	6	16	1	11	0	0	0
119	31	M3	selected	post_mortality	92	27	22	27	13	3	0	5	5	6	15	1	10	0	0	0
120	30	M3	selected	pre_breeding	92	14	28	30	14	6	0	5	5	9	15	4	10	0	0	0
120	30	M3	selected	post_mortality	90	25	25	25	12	3	0	5	5	8	12	3	7	0	0	0
121	29	M3	selected	pre_breeding	90	12	32	27	12	6	1	5	5	6	17	1	12	0	0	0
121	29	M3	selected	post_mortality	89	21	30	22	10	5	1	4	4	6	14	1	9	0	1	0
122	28	M3	selected	pre_breeding	89	12	32	24	14	6	1	4	4	7	15	3	11	0	0	0
122	28	M3	selected	post_mortality	89	20	31	20	13	5	0	4	3	6	13	3	10	1	0	0
123	27	M3	selected	pre_breeding	89	10	30	28	15	6	0	4	4	5	15	1	11	0	0	0
123	27	M3	selected	post_mortality	88	22	25	25	12	4	0	4	2	3	11	1	9	2	0	0
124	26	M3	selected	pre_breeding	88	13	23	33	13	6	0	4	4	4	13	0	9	0	0	0
124	26	M3	selected	post_mortality	91	23	21	32	11	4	0	4	3	3	11	0	8	1	0	0
125	25	M3	selected	pre_breeding	91	11	29	32	12	5	2	4	4	5	18	1	14	0	0	0
125	25	M3	selected	post_mortality	91	23	27	26	10	4	1	4	4	5	13	1	9	0	0	0
126	24	M3	selected	pre_breeding	91	13	29	31	12	5	1	4	4	5	16	1	12	0	0	0
126	24	M3	selected	post_mortality	92	25	25	26	11	5	0	4	3	4	14	1	11	1	0	0
127	23	M3	selected	pre_breeding	92	12	33	28	12	7	0	5	5	5	17	0	12	0	0	0
127	23	M3	selected	post_mortality	92	23	30	22	12	5	0	5	5	5	16	0	11	0	0	0
128	22	M3	selected	pre_breeding	92	15	30	26	16	4	1	5	5	7	16	2	11	0	0	0
128	22	M3	selected	post_mortality	89	24	25	25	11	3	1	5	4	6	13	2	9	1	0	0
129	21	M3	selected	pre_breeding	89	9	33	25	16	4	2	5	5	10	16	5	11	0	0	0
129	21	M3	selected	post_mortality	87	17	32	21	12	3	2	5	3	7	10	4	7	2	0	0
130	20	M3	selected	pre_breeding	87	9	29	30	12	5	2	5	5	7	13	2	8	0	0	0
130	20	M3	selected	post_mortality	84	20	23	26	9	4	2	5	3	5	10	2	7	2	0	0
131	19	M3	selected	pre_breeding	84	13	25	28	12	4	2	5	5	5	14	0	9	0	0	0
131	19	M3	selected	post_mortality	93	25	25	27	11	3	2	5	4	4	13	0	9	1	0	0
132	18	M3	selected	pre_breeding	93	13	25	36	11	5	3	5	5	6	16	1	11	0	0	0
132	18	M3	selected	post_mortality	84	20	22	27	8	4	3	5	4	5	11	1	7	1	0	0
133	17	M3	selected	pre_breeding	84	11	26	28	11	5	3	5	5	5	13	0	8	0	0	0
133	17	M3	selected	post_mortality	93	22	26	28	10	5	2	5	5	5	13	0	8	0	0	0
134	16	M3	selected	pre_breeding	93	12	29	32	12	4	4	5	5	7	19	2	14	0	0	0
134	16	M3	selected	post_mortality	96	19	29	29	11	4	4	5	5	6	16	1	11	0	0	0
135	15	M3	selected	pre_breeding	96	8	30	33	17	4	4	5	5	6	19	1	14	0	0	0
135	15	M3	selected	post_mortality	91	17	29	26	13	3	3	5	4	4	13	0	9	1	0	0
136	14	M3	selected	pre_breeding	91	10	28	30	14	6	3	5	5	6	16	1	11	0	0	0
136	14	M3	selected	post_mortality	95	22	26	29	13	3	2	5	5	6	15	1	10	0	0	0
137	13	M3	selected	pre_breeding	95	12	27	33	16	3	4	6	6	8	22	2	16	0	0	0
137	13	M3	selected	post_mortality	88	22	23	28	10	3	2	6	4	4	17	0	13	2	0	0
138	12	M3	selected	pre_breeding	88	14	21	34	12	5	2	6	6	5	20	0	14	0	0	0
138	12	M3	selected	post_mortality	90	20	21	32	11	5	1	6	6	5	19	0	13	0	0	0
139	11	M3	selected	pre_breeding	90	8	28	32	16	5	1	6	6	7	22	1	16	0	0	0
139	11	M3	selected	post_mortality	89	17	26	28	13	4	1	6	5	6	21	1	16	1	0	0
140	10	M3	selected	pre_breeding	89	11	24	30	18	5	1	6	6	12	27	6	21	0	0	0
140	10	M3	selected	post_mortality	93	23	23	27	16	4	0	6	6	12	24	6	18	0	0	0
141	9	M3	selected	pre_breeding	93	13	26	29	20	5	0	6	6	15	25	9	19	0	0	0
141	9	M3	selected	post_mortality	91	21	24	24	19	3	0	5	5	14	22	8	16	0	1	0
142	8	M3	selected	pre_breeding	91	9	27	30	19	5	1	6	6	15	24	9	18	0	0	0
142	8	M3	selected	post_mortality	90	22	20	27	16	4	1	5	4	13	22	8	17	1	1	0
143	7	M3	selected	pre_breeding	90	15	24	25	18	7	1	6	6	17	25	11	19	0	0	0
143	7	M3	selected	post_mortality	84	22	21	21	15	5	0	5	5	14	20	8	14	0	1	0
144	6	M3	selected	pre_breeding	84	8	28	25	16	7	0	6	6	13	23	7	17	0	0	0
144	6	M3	selected	post_mortality	81	21	23	21	11	5	0	6	3	8	18	5	15	3	0	0
145	5	M3	selected	pre_breeding	81	14	23	25	11	7	1	6	6	7	18	1	12	0	0	0
145	5	M3	selected	post_mortality	86	25	22	25	9	4	1	6	4	5	14	1	10	2	0	0
146	4	M3	selected	pre_breeding	86	12	31	24	12	5	2	6	6	7	15	1	9	0	0	0
146	4	M3	selected	post_mortality	91	23	29	22	11	5	1	6	5	6	12	1	7	1	0	0
147	3	M3	selected	pre_breeding	91	12	29	28	15	6	1	6	6	6	15	0	9	0	0	0
147	3	M3	selected	post_mortality	90	23	27	26	10	4	0	6	5	5	13	0	8	1	0	0
148	2	M3	selected	pre_breeding	90	13	31	32	8	6	0	6	6	5	14	0	8	0	0	0
148	2	M3	selected	post_mortality	84	19	25	26	8	6	0	6	6	5	14	0	8	0	0	0
149	1	M3	selected	pre_breeding	84	8	28	30	12	5	1	6	6	5	18	0	12	0	0	0
149	1	M3	selected	post_mortality	93	23	27	27	11	4	1	6	5	4	16	0	11	1	0	0
150	0	M3	selected	pre_breeding	93	16	25	32	14	4	2	6	6	6	18	1	12	0	0	0
150	0	M3	selected	post_mortality	92	25	22	27	12	4	2	6	6	5	17	0	11	0	0	0
