cycle	bp	scenario	genetic_mode	N	sample_n	mean_genetic_fitness	mean_2B	mean_het_del	mean_hom_del	mean_weak_het	mean_moderate_het	mean_strong_het	mean_vstrong_het	segregating_del_muts	fixed_del_muts
99	51	M2	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
100	50	M2	selected	93	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
101	49	M2	selected	97	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
104	46	M2	selected	94	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
107	43	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
110	40	M2	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
113	37	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
115	35	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
117	33	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
119	31	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
128	22	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
130	20	M2	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
132	18	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
133	17	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
134	16	M2	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
135	15	M2	selected	92	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
138	12	M2	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
139	11	M2	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
140	10	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
142	8	M2	selected	96	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
143	7	M2	selected	98	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
145	5	M2	selected	97	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
146	4	M2	selected	99	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
149	1	M2	selected	95	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
150	0	M2	selected	107	20	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
